id,task,framework,constraint,version,fold,type,metric,utc,training_duration,predict_duration,result
id/0,fb_dialog,ablation_gradient_clip,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T15:48:03,3368.2,49.7,0.459033209385819
id/0,SNIPS,ablation_gradient_clip,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T15:48:03,3245.3,39.0,0.54
id/0,ag_news,ablation_gradient_clip,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T15:48:06,22407.4,49.7,0.604210526315789
id/0,financial_news,ablation_warmup_steps,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T16:05:24,1128.0,40.9,0.587203302373581
id/0,MLDoc-11000,ablation_warmup_steps,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T15:59:21,2845.2,58.1,0.3825
id/0,gnad10,ablation_warmup_steps,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T15:59:20,2542.2,44.7,0.169260700389105
id/0,MultiATIS-5000,ablation_warmup_steps,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T16:01:52,1441.4,39.4,0.723905723905724
id/0,fb_dialog,ablation_warmup_steps,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T16:05:22,4090.5,49.8,0.459033209385819
id/0,SNIPS,ablation_warmup_steps,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T15:59:20,3245.4,39.2,0.517142857142857
id/0,ag_news,ablation_warmup_steps,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T16:05:24,24892.1,49.7,0.595657894736842
id/0,financial_news,ablation_cosine_decay,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T12:03:40,748.3,41.0,0.579979360165119
id/0,MLDoc-11000,ablation_cosine_decay,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T12:03:16,2271.9,58.3,0.38675
id/0,gnad10,ablation_cosine_decay,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T12:05:46,2560.3,45.4,0.191634241245136
id/0,MultiATIS-5000,ablation_cosine_decay,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T12:08:44,1436.2,39.8,0.723905723905724
id/0,fb_dialog,ablation_cosine_decay,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T12:08:42,5970.2,49.8,0.471214258238236
id/0,SNIPS,ablation_cosine_decay,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T12:08:53,3256.3,39.4,0.477142857142857
id/0,ag_news,ablation_cosine_decay,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T12:08:54,25306.2,50.5,0.615789473684211
id/0,financial_news,ablation_weight_decay,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T12:18:31,755.0,41.0,0.579979360165119
id/0,MLDoc-11000,ablation_weight_decay,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T12:19:05,2262.2,58.5,0.38675
id/0,gnad10,ablation_weight_decay,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T12:19:35,2540.7,44.9,0.189688715953307
id/0,MultiATIS-5000,ablation_weight_decay,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T12:20:04,1412.5,39.9,0.723905723905724
id/0,fb_dialog,ablation_weight_decay,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T12:23:16,6195.1,49.9,0.471342479805103
id/0,SNIPS,ablation_weight_decay,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T12:23:14,3229.8,39.4,0.478571428571429
id/0,ag_news,ablation_weight_decay,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T12:23:17,24972.7,49.8,0.615657894736842
id/0,financial_news,ablation_lr_decay,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T12:38:02,1211.9,41.0,0.87203302373581
id/0,MLDoc-11000,ablation_lr_decay,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T12:35:58,2785.2,58.2,0.979
id/0,gnad10,ablation_lr_decay,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T12:33:55,2583.0,45.3,0.908560311284047
id/0,MultiATIS-5000,ablation_lr_decay,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T12:33:54,1446.3,39.6,0.987654320987654
id/0,fb_dialog,ablation_lr_decay,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T12:33:56,4988.5,50.4,0.992306705987947
